Provincia;Parcela;pH;CE ;Fh;HR(%);Carb(%);Ca ;Mg ;K;Na ;RAS;Mn ;Zn ;Cu ;Fe ;P_(ppm);%MO;%Arcilla;%Limo;%Arena
Cadiz;110085;7,355;0,1517;0,955;4,77;0;2702,49;50,04;1067,455;2260,62;3,805;48,08;1,395;1,34;21,53;10,605;3,685;11,545;8,495;79,96
Cadiz;110094;6,565;0,158;0,911;9,775;50,5;11262,055;50,395;1363,375;1935,315;1,605;28,775;0,49;3,685;12,64;5,83;4,55;31,62;32,405;35,97
Cadiz;110158;7,315;0,3395;0,964;3,79;29,1;11676,315;89,77;3451,5;2468,955;2,005;42,56;4,04;4,98;19,02;22,045;8,91;30,91;32,065;37,025
Cadiz;110160;7,105;0,20645;0,898;11,345;0;3828,74;72,28;2743,6;2351,23;3,325;88,82;1,16;3,65;25,775;6,39;9,34;44,125;28,58;27,295
Cadiz;110397;7,29;0,3585;0,896;11,73;39,25;11052,69;95,89;1857,37;1987,015;1,66;76,27;2,405;11,525;27,445;21,795;11,635;21,03;20,795;58,175
Cordoba;140897;5,905;0,0251;0,983;1,755;0;757,21;73,675;736,39;2568,345;7,88;33,845;0,08;2,035;35,41;16,81;1,915;6,83;20,695;72,475
Cordoba;140933;6,085;0,0332;0,9795;2,07;0;689,975;151,54;830,76;3309,035;10,23;60,975;0,625;2,615;49,485;7,31;2,22;6,675;25,48;67,85
Cordoba;141354;7,195;0,13105;0,9345;7,005;0;2326,615;38,96;1114,62;2199,895;3,99;61,665;1,46;3,34;26,115;6,42;2,52;15,75;21,1;63,15
Cordoba;141365;6,36;0,096;0,9805;2,03;0;1200,705;54,335;969,08;2173,84;5,42;82,755;3,96;4;26,375;4,095;4,035;8,975;22,765;68,265
Cordoba;141373;6,65;0,10195;0,98;2,045;0;1298,33;80,685;941,57;2789,77;6,885;65,265;6;4,245;15,84;4,795;4,805;10,07;22,265;67,665
Lugo;272851;4,01;0,0456;0,9545;4,785;0;80,9;24,195;546,35;2133,345;18,745;16,325;2,085;2,86;246,545;30,63;5,735;4,27;19,915;75,815
Lugo;272895;4,185;0,1085;0,958;4,365;0;398;87,135;811,88;2838,59;11,865;24,615;4,235;1,92;429,9;42,895;10,805;3,17;18,07;78,76
Ourense;320551;5,57;0,04155;0,956;4,67;0;477,29;55,04;697,03;2107,895;8,15;63,365;0,275;2,69;83,825;14,66;5,13;3,185;30,075;66,745
Ourense;320576;4,96;0,07095;0,93;7,515;0;501,565;48,75;1143,04;3770,52;14,245;123,375;1,78;3,7;161,005;46,525;5,51;4,19;23,055;72,75
Ourense;320603;4,915;0,03015;0,9375;6,7;0;161,27;21,695;642,76;2219,295;14,585;25,545;0,36;2,305;92,46;21,39;4,89;2,725;12,66;84,615
Sevilla;410144;5,91;0,0315;0,9785;2,16;0;483,04;36,505;1561,405;3546,76;13,82;26,45;0,065;2,78;31,135;9,26;3,05;3,805;28,295;67,905
Sevilla;410163;6,595;0,08035;0,953;4,965;0;1352,955;69,92;841,23;2092,74;4,895;95,215;0,44;6,885;19,77;3,395;3,39;6,135;23,05;70,815
Sevilla;410274;5,815;0,06785;0,9555;4,73;0;897,72;40,395;1098,03;2106,275;6,46;254,255;1,275;10,27;39,375;2,89;2,465;9,24;31,365;59,395
Sevilla;410284;7,05;0,10235;0,978;2,24;0;1529,43;33,945;1242,83;2302,45;5,135;116,69;0,52;2,945;20,615;9,1;3,39;18,79;28,59;52,615
Sevilla;410297;5,49;0,0397;0,932;7,255;0;841,09;109,825;948,28;2309,555;6,6;115,715;1,285;3,43;85,295;5,495;3,05;14,04;35,54;50,415
Toledo;450102;5,805;0,023055;0,9745;2,695;0;194,735;16,88;667,37;2112,03;12,99;22,13;0,11;1,975;17,1;7,235;1,46;1,04;9,655;89,31
Toledo;450177;5,46;0,0213;0,9805;2,03;0;299,38;33,67;741,985;3001,455;14,5;24,67;0,13;1,87;20,34;12,265;1,03;6,205;10,41;83,385
Toledo;450204;5,305;0,04255;0,9695;3,155;0;273,75;26,285;1258,125;2812,875;14,72;21,365;0,395;2,645;50,81;110,75;3,01;3,495;13,16;83,34
Toledo;450266;5,46;0,0233;0,969;3,255;0;289,29;20,66;781,07;1994,275;10,1;17,18;0,14;1,98;32,64;18,785;2,67;3,43;12,195;84,375
Toledo;451384;6,44;0,09325;0,942;6,175;0;1052,515;44,72;792,145;2309,725;6,465;23,125;0,585;2,035;24,41;4,95;3,47;6,7;16,465;76,83
Zamora;490126;5,265;0,0339;0,957;4,545;0;365,29;39,39;887,11;2551,745;11,205;91,26;0,385;2,59;47,345;10,975;3,2;6,41;24,345;69,24
Zamora;490300;4,925;0,016735;0,95;5,26;0;75,05;10,455;544,44;2002,695;19,9;63,935;0,125;1,77;36,68;4,215;2,12;3,745;13,26;83
Zamora;490301;5,135;0,028;0,97;3,115;0;264,145;29,53;973,165;4255,4;21,195;98,52;0,265;2,565;72,065;8,815;3,61;7,325;23,95;68,725
Zamora;490525;5,25;0,022;0,988;1,24;0;78,78;17,82;593,99;2689,42;24,47;44,63;0,08;2,59;73,54;22,37;3,63;4,76;16,92;78,33
Zamora;490813;5,05;0,0242;0,99;1,02;0;73,48;14,55;1027,81;2398,13;22,82;37,61;0,19;2,42;40,08;12,12;1,26;3,04;9,95;87,01
